Código IBGE;Município;Meso Região;Micro Região;Praça Pagamento
3100104;Abadia dos Dourados;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Coromandel
3100203;Abaeté;Central Mineira;Três Marias;Abaeté
315550410;Abaeté dos Mendes;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Rio Paranaíba
316210407;Abaeté dos Venâncios;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;São Gotardo
313840110;Abaíba;Zona da Mata;Cataguases;Leopoldina
3100302;Abre Campo;Zona da Mata;Manhuaçu;Abre Campo
310210010;Abreus;Zona da Mata;Viçosa;Alto Rio Doce
3100401;Acaiaca;Zona da Mata;Ponte Nova;Ponte Nova
313190110;Acuruí;Metropolitana de Belo Horizonte;Ouro Preto;Itabirito
310850310;Adão Colares;Norte de Minas;Grão Mogol;Grão Mogol
3100807;Aguanil;Oeste de Minas;Campo Belo;Campo Belo
3101102;Aimorés;Vale do Rio Doce;Aimorés;Aimorés
314830110;Airões;Zona da Mata;Viçosa;Viçosa
3101201;Aiuruoca;Sul/Sudoeste de Minas;Andrelândia;Aiuruoca
3101300;Alagoa;Sul/Sudoeste de Minas;São Lourenço;Itamonte
3101409;Albertina;Sul/Sudoeste de Minas;Poços de Caldas;Jacutinga
314050610;Alberto Isaacson;Central Mineira;Bom Despacho;Martinho Campos
312610910;Albertos;Oeste de Minas;Formiga;Formiga
312083910;Aldeia;Vale do Rio Doce;Aimorés;Conselheiro Pena
311930210;Alegre;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Coromandel
316760810;Alegria;Zona da Mata;Manhuaçu;Manhuaçu
313440010;Alexandrita;Triângulo Mineiro/Alto Paranaíba;Frutal;Iturama
3101607;Alfenas;Sul/Sudoeste de Minas;Alfenas;Alfenas
3901607;Alfenas II;Sul/Sudoeste de Minas;Alfenas;Alfenas
3101631;Alfredo Vasconcelos;Campo das Vertentes;Barbacena;Barbacena
313460810;Almeida;Metropolitana de Belo Horizonte;Sete Lagoas;Jaboticatubas
3101706;Almenara;Jequitinhonha;Almenara;Almenara
3101805;Alpercata;Vale do Rio Doce;Governador Valadares;Governador Valadares
3101904;Alpinópolis;Sul/Sudoeste de Minas;Passos;Alpinópolis
3102001;Alterosa;Sul/Sudoeste de Minas;Alfenas;Areado
310730720;Alto Belo;Norte de Minas;Bocaiúva;Bocaiúva
3102050;Alto Caparaó;Zona da Mata;Manhuaçu;Manhumirim
312770110;Alto de Santa Helena;Vale do Rio Doce;Governador Valadares;Governador Valadares
310110210;Alto do Capim;Vale do Rio Doce;Aimorés;Aimorés
3153509;Alto Jequitibá;Zona da Mata;Manhuaçu;Manhumirim
311800710;Alto Maranhão;Metropolitana de Belo Horizonte;Conselheiro Lafaiete;Congonhas
315950607;Alto Pião;Vale do Rio Doce;Aimorés;Resplendor
3102100;Alto Rio Doce;Zona da Mata;Viçosa;Alto Rio Doce
316820010;Altolândia;Oeste de Minas;Piuí;Bambuí
